Tamaño,Hilos,algoritmo,tiempo
1024,4,Paralelo V1,338
1024,1023,Paralelo V2,266449
1024,1,Secuencial,7
1024,4,Paralelo V1,203
1024,1023,Paralelo V2,263347
1024,1,Secuencial,7
1024,4,Paralelo V1,199
1024,1023,Paralelo V2,266280
1024,1,Secuencial,7
1024,4,Paralelo V1,203
1024,1023,Paralelo V2,271865
1024,1,Secuencial,7
1024,4,Paralelo V1,214
1024,1023,Paralelo V2,269274
1024,1,Secuencial,5
1024,4,Paralelo V1,188
1024,1023,Paralelo V2,263579
1024,1,Secuencial,7
1024,4,Paralelo V1,197
1024,1023,Paralelo V2,262272
1024,1,Secuencial,7
1024,4,Paralelo V1,207
1024,1023,Paralelo V2,270051
1024,1,Secuencial,7
1024,4,Paralelo V1,206
1024,1023,Paralelo V2,269552
1024,1,Secuencial,7
1024,4,Paralelo V1,205
1024,1023,Paralelo V2,268385
1024,1,Secuencial,7
2048,4,Paralelo V1,206
2048,2047,Paralelo V2,615734
2048,1,Secuencial,14
2048,4,Paralelo V1,204
2048,2047,Paralelo V2,631488
2048,1,Secuencial,11
2048,4,Paralelo V1,180
2048,2047,Paralelo V2,571320
2048,1,Secuencial,11
2048,4,Paralelo V1,183
2048,2047,Paralelo V2,582254
2048,1,Secuencial,11
2048,4,Paralelo V1,180
2048,2047,Paralelo V2,580198
2048,1,Secuencial,14
2048,4,Paralelo V1,208
2048,2047,Paralelo V2,611297
2048,1,Secuencial,14
2048,4,Paralelo V1,205
2048,2047,Paralelo V2,640181
2048,1,Secuencial,11
2048,4,Paralelo V1,178
2048,2047,Paralelo V2,648108
2048,1,Secuencial,11
2048,4,Paralelo V1,182
2048,2047,Paralelo V2,612024
2048,1,Secuencial,14
2048,4,Paralelo V1,214
2048,2047,Paralelo V2,618775
2048,1,Secuencial,14
4096,4,Paralelo V1,229
4096,4095,Paralelo V2,1310542
4096,1,Secuencial,28
4096,4,Paralelo V1,210
4096,4095,Paralelo V2,1458346
4096,1,Secuencial,22
4096,4,Paralelo V1,193
4096,4095,Paralelo V2,1454545
4096,1,Secuencial,28
4096,4,Paralelo V1,213
4096,4095,Paralelo V2,1680037
4096,1,Secuencial,28
4096,4,Paralelo V1,342
4096,4095,Paralelo V2,1510128
4096,1,Secuencial,28
4096,4,Paralelo V1,253
4096,4095,Paralelo V2,1381255
4096,1,Secuencial,22
4096,4,Paralelo V1,199
4096,4095,Paralelo V2,1321968
4096,1,Secuencial,28
4096,4,Paralelo V1,228
4096,4095,Paralelo V2,1394073
4096,1,Secuencial,22
4096,4,Paralelo V1,190
4096,4095,Paralelo V2,1422820
4096,1,Secuencial,28
4096,4,Paralelo V1,206
4096,4095,Paralelo V2,1355655
4096,1,Secuencial,28
8192,4,Paralelo V1,237
8192,1,Secuencial,57
8192,4,Paralelo V1,221
8192,1,Secuencial,57
8192,4,Paralelo V1,215
8192,1,Secuencial,57
8192,4,Paralelo V1,210
8192,1,Secuencial,57
8192,4,Paralelo V1,210
8192,1,Secuencial,57
8192,4,Paralelo V1,208
8192,1,Secuencial,57
8192,4,Paralelo V1,216
8192,1,Secuencial,57
8192,4,Paralelo V1,217
8192,1,Secuencial,57
8192,4,Paralelo V1,221
8192,1,Secuencial,57
8192,4,Paralelo V1,225
8192,1,Secuencial,57
16384,4,Paralelo V1,234
16384,1,Secuencial,114
16384,4,Paralelo V1,254
16384,1,Secuencial,114
16384,4,Paralelo V1,258
16384,1,Secuencial,115
16384,4,Paralelo V1,260
16384,1,Secuencial,115
16384,4,Paralelo V1,245
16384,1,Secuencial,114
16384,4,Paralelo V1,245
16384,1,Secuencial,115
16384,4,Paralelo V1,246
16384,1,Secuencial,114
16384,4,Paralelo V1,236
16384,1,Secuencial,114
16384,4,Paralelo V1,251
16384,1,Secuencial,114
16384,4,Paralelo V1,244
16384,1,Secuencial,114
32768,4,Paralelo V1,303
32768,1,Secuencial,230
32768,4,Paralelo V1,298
32768,1,Secuencial,229
32768,4,Paralelo V1,298
32768,1,Secuencial,230
32768,4,Paralelo V1,301
32768,1,Secuencial,229
32768,4,Paralelo V1,309
32768,1,Secuencial,229
32768,4,Paralelo V1,302
32768,1,Secuencial,230
32768,4,Paralelo V1,324
32768,1,Secuencial,230
32768,4,Paralelo V1,426
32768,1,Secuencial,230
32768,4,Paralelo V1,303
32768,1,Secuencial,224
32768,4,Paralelo V1,381
32768,1,Secuencial,230
65536,4,Paralelo V1,455
65536,1,Secuencial,457
65536,4,Paralelo V1,425
65536,1,Secuencial,460
65536,4,Paralelo V1,413
65536,1,Secuencial,363
65536,4,Paralelo V1,376
65536,1,Secuencial,302
65536,4,Paralelo V1,381
65536,1,Secuencial,302
65536,4,Paralelo V1,381
65536,1,Secuencial,305
65536,4,Paralelo V1,404
65536,1,Secuencial,302
65536,4,Paralelo V1,370
65536,1,Secuencial,302
65536,4,Paralelo V1,369
65536,1,Secuencial,302
65536,4,Paralelo V1,740
65536,1,Secuencial,302
