Tamaño,Hilos,algoritmo,tiempo
1024,4,Paralelo V1,145
1024,4,Paralelo V1,195
1024,4,Paralelo V1,236
1024,4,Paralelo V1,269
1024,4,Paralelo V1,301
1024,4,Paralelo V1,334
1024,4,Paralelo V1,365
1024,4,Paralelo V1,397
1024,4,Paralelo V1,429
1024,4,Paralelo V1,461
1024,1023,Paralelo V2,272094
1024,1,Secuencial,3
1024,4,Paralelo V1,68
1024,4,Paralelo V1,88
1024,4,Paralelo V1,108
1024,4,Paralelo V1,127
1024,4,Paralelo V1,147
1024,4,Paralelo V1,167
1024,4,Paralelo V1,186
1024,4,Paralelo V1,206
1024,4,Paralelo V1,226
1024,4,Paralelo V1,245
1024,1023,Paralelo V2,237555
1024,1,Secuencial,3
1024,4,Paralelo V1,20
1024,4,Paralelo V1,38
1024,4,Paralelo V1,57
1024,4,Paralelo V1,76
1024,4,Paralelo V1,96
1024,4,Paralelo V1,115
1024,4,Paralelo V1,134
1024,4,Paralelo V1,154
1024,4,Paralelo V1,174
1024,4,Paralelo V1,194
1024,1023,Paralelo V2,243537
1024,1,Secuencial,2
1024,4,Paralelo V1,18
1024,4,Paralelo V1,34
1024,4,Paralelo V1,68
1024,4,Paralelo V1,84
1024,4,Paralelo V1,101
1024,4,Paralelo V1,117
1024,4,Paralelo V1,134
1024,4,Paralelo V1,149
1024,4,Paralelo V1,167
1024,4,Paralelo V1,184
1024,1023,Paralelo V2,246790
1024,1,Secuencial,2
1024,4,Paralelo V1,18
1024,4,Paralelo V1,36
1024,4,Paralelo V1,53
1024,4,Paralelo V1,70
1024,4,Paralelo V1,87
1024,4,Paralelo V1,105
1024,4,Paralelo V1,123
1024,4,Paralelo V1,140
1024,4,Paralelo V1,158
1024,4,Paralelo V1,175
1024,1023,Paralelo V2,247408
1024,1,Secuencial,3
1024,4,Paralelo V1,21
1024,4,Paralelo V1,39
1024,4,Paralelo V1,57
1024,4,Paralelo V1,75
1024,4,Paralelo V1,95
1024,4,Paralelo V1,114
1024,4,Paralelo V1,133
1024,4,Paralelo V1,152
1024,4,Paralelo V1,171
1024,4,Paralelo V1,191
1024,1023,Paralelo V2,245572
1024,1,Secuencial,3
1024,4,Paralelo V1,20
1024,4,Paralelo V1,38
1024,4,Paralelo V1,56
1024,4,Paralelo V1,80
1024,4,Paralelo V1,111
1024,4,Paralelo V1,149
1024,4,Paralelo V1,188
1024,4,Paralelo V1,227
1024,4,Paralelo V1,266
1024,4,Paralelo V1,306
1024,1023,Paralelo V2,246082
1024,1,Secuencial,2
1024,4,Paralelo V1,22
1024,4,Paralelo V1,42
1024,4,Paralelo V1,64
1024,4,Paralelo V1,85
1024,4,Paralelo V1,105
1024,4,Paralelo V1,125
1024,4,Paralelo V1,144
1024,4,Paralelo V1,163
1024,4,Paralelo V1,183
1024,4,Paralelo V1,202
1024,1023,Paralelo V2,239191
1024,1,Secuencial,2
1024,4,Paralelo V1,18
1024,4,Paralelo V1,34
1024,4,Paralelo V1,52
1024,4,Paralelo V1,69
1024,4,Paralelo V1,86
1024,4,Paralelo V1,103
1024,4,Paralelo V1,121
1024,4,Paralelo V1,138
1024,4,Paralelo V1,156
1024,4,Paralelo V1,173
1024,1023,Paralelo V2,247385
1024,1,Secuencial,2
1024,4,Paralelo V1,21
1024,4,Paralelo V1,40
1024,4,Paralelo V1,60
1024,4,Paralelo V1,78
1024,4,Paralelo V1,99
1024,4,Paralelo V1,119
1024,4,Paralelo V1,138
1024,4,Paralelo V1,158
1024,4,Paralelo V1,178
1024,4,Paralelo V1,197
1024,1023,Paralelo V2,248654
1024,1,Secuencial,2
2048,4,Paralelo V1,23
2048,4,Paralelo V1,42
2048,4,Paralelo V1,61
2048,4,Paralelo V1,81
2048,4,Paralelo V1,102
2048,4,Paralelo V1,122
2048,4,Paralelo V1,143
2048,4,Paralelo V1,161
2048,4,Paralelo V1,182
2048,4,Paralelo V1,203
2048,2047,Paralelo V2,586015
2048,1,Secuencial,7
2048,4,Paralelo V1,21
2048,4,Paralelo V1,39
2048,4,Paralelo V1,59
2048,4,Paralelo V1,78
2048,4,Paralelo V1,97
2048,4,Paralelo V1,116
2048,4,Paralelo V1,135
2048,4,Paralelo V1,154
2048,4,Paralelo V1,173
2048,4,Paralelo V1,192
2048,2047,Paralelo V2,574332
2048,1,Secuencial,4
2048,4,Paralelo V1,20
2048,4,Paralelo V1,37
2048,4,Paralelo V1,55
2048,4,Paralelo V1,72
2048,4,Paralelo V1,90
2048,4,Paralelo V1,107
2048,4,Paralelo V1,124
2048,4,Paralelo V1,140
2048,4,Paralelo V1,158
2048,4,Paralelo V1,176
2048,2047,Paralelo V2,542890
2048,1,Secuencial,4
2048,4,Paralelo V1,18
2048,4,Paralelo V1,34
2048,4,Paralelo V1,51
2048,4,Paralelo V1,69
2048,4,Paralelo V1,86
2048,4,Paralelo V1,104
2048,4,Paralelo V1,121
2048,4,Paralelo V1,139
